Nom SAQ,Nom LCBO,Prix SAQ,Prix LCBO,Différence,Pourc,Volume SAQ,Volume LCBO,Type SAQ,Type LCBO,Catégorie,image SAQ,image LCBO
Napa Cellars Zinfandel 2012,Napa Cellars Zinfandel 2012,"27,25","24,95","2,3","9,2%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/11091833-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/126607/images/full.jpeg
Newfoundland Screech,Newfoundland Screech Rum,"26,55","26,95","-0,4","-1,5%",750,750,Rhum ambré,Rum,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/11588196-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/4622/images/full.jpeg
Nicolas Feuillatte,Nicolas Feuillatte Brut Rosé Champagne,"54,25","37,95","16,3","43,0%",750,750,Champagne rosé,Champagne,Vin,http://s7d9.scene7.com/is/image/SAQ/10515825-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/267039/images/full.jpeg
Niepoort Redoma 2009,Niepoort Redoma Red 2009,"43,75",51,"-7,25","-14,2%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/11634375-1?&scl=1,
Nikka Taketsuru Pure Malt,Nikka Taketsuru Pure Malt 12Yr Whisky,"82,75","74,4","8,35","11,2%",700,700,Whisky,Whisky/Whiskey,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/11028412-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/332957/images/full.jpeg
Nonino Amaro Quintessentia,Nonino Quintessentia Amaro,"43,25","42,35","0,9","2,1%",700,700,Liqueur d'herbe,Liqueur/Liquor,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/10999073-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/933796/images/full.jpeg
Nonino Prunella Mandorlata,Nonino Prunella Mandorlata,43,"45,95","-2,95","-6,4%",700,700,Liqueur de fruit,Eau-de-Vie,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/11996106-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/348862/images/full.jpeg
O' Casey's,O'Casey's Irish Cream,"22,7","19,95","2,75","13,8%",750,750,Boisson à la crème (crème ir...,Liqueur/Liquor,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/00379032-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/379032/images/full.jpeg
O'Hara's Irish Stout,O'Hara's Irish Stout,"4,75","3,25","1,5","46,2%",500,500,Bière noire de type Ale,Ale,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/10930922-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/697821/images/full.jpeg
Olmeca Gold,Olmeca Tequila Gold,29,"28,95","0,05","0,2%",750,750,Téquila dorée,Tequila,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/10286188-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/602755/images/full.jpeg
Orval,Orval Trappist Ale,"3,55","3,35","0,2","6,0%",330,330,Bière ambrée de type Ale,Ale,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/10398905-1?&scl=1,
Osoyoos Larose Le Grand Vin 2009,Osoyoos Larose Le Grand Vin 2009,45,"44,95","0,05","0,1%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/10293169-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/626325/images/full.jpeg
Oyster Bay Chardonnay,Oyster Bay Chardonnay,"19,9","18,95","0,95","5,0%",750,750,Vin blanc,White Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/10383691-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/326728/images/full.jpeg
Oyster Bay Pinot Noir 2013,Oyster Bay Pinot Noir 2013,22,"19,95","2,05","10,3%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/10826105-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/590414/images/full.jpeg
Oyster Bay Sauvignon Blanc,Oyster Bay Sauvignon Blanc,"19,9","18,95","0,95","5,0%",750,750,Vin blanc,White Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/00316570-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/316570/images/full.jpeg
Paco & Lola Albarino 2013,Paco & Lola Albariño 2013,"18,8","18,95","-0,15","-0,8%",750,750,Vin blanc,White Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/12475353-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/350041/images/full.jpeg
Paolo Conterno Bricco Barbera d'Alba 2013,Paolo Conterno Bricco Barbera D'Alba 2013,"19,5","18,95","0,55","2,9%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/11035874-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/744714/images/full.jpeg
Pascal Jolivet Sancerre 2013,Pascal Jolivet Sancerre 2013,"26,9","29,95","-3,05","-10,2%",750,750,Vin blanc,White Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/00528687-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/264945/images/full.jpeg
Pascual Toso Malbec Limited Edition,Pascual Toso Limited Edition Malbec,"16,25","15,95","0,3","1,9%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/11676111-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/162610/images/full.jpeg
Patron Anejo,Patron Anejo Tequila,"95,25","99,95","-4,7","-4,7%",750,750,Téquila,Tequila,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/10690009-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/34603/images/full.jpeg
Patron Silver,Patron Silver Tequila,"79,25","79,95","-0,7","-0,9%",750,750,Téquila,Tequila,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/10689981-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/34595/images/full.jpeg
Paul Jaboulet Aîné La Chapelle Hermitage 2003,Paul Jaboulet Aîné La Chapelle Hermitage 2003,230,"249,95","-19,95","-8,0%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/11892868-1?&scl=1,
Peachtree Schnapps,Dekuyper Peachtree Schnapps Liqueur,"34,5","27,95","6,55","23,4%",1140,1140,Liqueur de fruit (pêche),Liqueur/Liquor,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/00268722-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/226332/images/full.jpeg
Pecchenino Le Coste Barolo 2009,Pecchenino Le Coste Barolo 2009,76,72,4,"5,6%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/12465850-1?&scl=1,
Penfolds Bin 128 Shiraz 2012,Penfolds Bin 128 Shiraz 2012,"33,25","34,95","-1,7","-4,9%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/12008261-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/509919/images/full.jpeg
Penfolds Koonunga Hill Chardonnay,Penfolds Koonunga Hill Chardonnay,"16,5","14,95","1,55","10,4%",750,750,Vin blanc,White Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/00321943-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/321943/images/full.jpeg
Penfolds Koonunga Hill Shiraz / Cabernet,Penfolds Koonunga Hill Shiraz Cabernet,18,"16,95","1,05","6,2%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/00285544-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/285544/images/full.jpeg
Pernod,Pernod,"26,3","27,75","-1,45","-5,2%",750,750,Alcool anisé - Pastis,Liqueur/Liquor,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/00006049-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/6049/images/full.jpeg
Petrus 2006,Château Pétrus 2006,3125,3145,-20,"-0,6%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/12006979-1?&scl=1,
Pfaff Pinot Gris,Pfaff Pinot Gris,"17,25","15,95","1,3","8,2%",750,750,Vin blanc,White Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/00456244-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/362087/images/full.jpeg
Pieropan Soave Classico 2013,Pieropan Soave Classico 2013,"19,2","19,95","-0,75","-3,8%",750,750,Vin blanc,White Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/11027743-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/946848/images/full.jpeg
Pike Creek Double Barreled,Pike Creek Double Barreled Canadian Whisky,"40,5","39,95","0,55","1,4%",750,750,Whisky canadien,Whisky/Whiskey,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/12401987-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/405076/images/full.jpeg
Piper-Heidsieck Brut,Piper Heidsieck Brut Champagne,60,"54,95","5,05","9,2%",750,750,Champagne,Champagne,Vin,http://s7d9.scene7.com/is/image/SAQ/00462432-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/462432/images/full.jpeg
Pisse-Dru Beaujolais,Pisse-Dru Beaujolais,"14,95","12,95",2,"15,4%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/00002881-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/2881/images/full.jpeg
Plymouth English Gin,Plymouth English Gin,"45,25","44,95","0,3","0,7%",750,750,Dry gin,Gin,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/12307712-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/277004/images/full.jpeg
Pol Roger Brut,Pol Roger Brut Champagne,"61,25","63,2","-1,95","-3,1%",750,750,Champagne,Champagne,Vin,http://s7d9.scene7.com/is/image/SAQ/00051953-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/217158/images/full.jpeg
Polar Ice,Polar Ice Vodka,"8,4","7,9","0,5","6,3%",200,200,Vodka,Vodka,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/11404756-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/602128/images/full.jpeg
Polar Ice,Polar Ice Vodka,"21,95","25,35","-3,4","-13,4%",750,750,Vodka,Vodka,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/00135566-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/71647/images/full.jpeg
Polar Ice,Polar Ice Vodka,"33,25","38,15","-4,9","-12,8%",1140,1140,Vodka,Vodka,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/11495168-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/240150/images/full.jpeg
Polar Ice 90° North Vodka,Polar Ice 90 North Vodka,"25,25","26,35","-1,1","-4,2%",750,750,Vodka,Vodka,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/12275204-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/401828/images/full.jpeg
Poli Cleopatra Moscato Oro,Poli Cleopatra Moscato Oro Grappa,"69,5","79,95","-10,45","-13,1%",700,700,Grappa,Eau-de-Vie,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/11532571-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/349001/images/full.jpeg
Pombal do Vesuvio 2009,Pombal Do Vesuvio 2009,30,"30,95","-0,95","-3,1%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/12120982-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/392365/images/full.jpeg
Pommery Brut Royal,Pommery Brut Royal Champagne,"62,75","45,75",17,"37,2%",750,750,Champagne,Champagne,Vin,http://s7d9.scene7.com/is/image/SAQ/00346106-1?&scl=1,
Porcupine Ridge Cabernet-Sauvignon 2013,Porcupine Ridge Cabernet Sauvignon 2013,"18,05","16,95","1,1","6,5%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/00573717-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/146894/images/full.jpeg
Porcupine Ridge Sauvignon Blanc 2014,Porcupine Ridge Sauvignon Blanc 2014,"14,9","13,95","0,95","6,8%",750,750,Vin blanc,White Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/00592881-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/126797/images/full.jpeg
Porcupine Ridge Syrah,Porcupine Ridge Syrah,"17,85","14,95","2,9","19,4%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/10678510-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/595280/images/full.jpeg
Primus The Blend 2011,Primus the Blend 2011,"24,75","19,95","4,8","24,1%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/10694501-1?&scl=1,
Prince Stirbey Tamaioasa Romaneasca 2013,Prince Stirbey Tamaioasa Romaneasca 2013,"19,7","19,95","-0,25","-1,3%",750,750,Vin blanc,White Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/11200892-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/391409/images/full.jpeg
Quails' Gate Chardonnay 2013,Quails' Gate Chardonnay 2013,"21,5","21,95","-0,45","-2,1%",750,750,Vin blanc,White Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/12456179-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/377770/images/full.jpeg
Quails' Gate Pinot Noir 2012,Quails' Gate Pinot Noir 2012,"27,3","26,95","0,35","1,3%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/11889669-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/585760/images/full.jpeg
Quinta da Ponte Pedrinha 2012,Quinta Da Ponte Pedrinha 2012,18,"16,95","1,05","6,2%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/11895321-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/219188/images/full.jpeg
Quinta da Romaneira 2008,Quinta Da Romaneira Tinto 2008,"27,25","37,95","-10,7","-28,2%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/11605566-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/218750/images/full.jpeg
Quinta do Côa Douro 2012,Quinta Do Côa Vinho Tinto 2012,"20,6","21,95","-1,35","-6,2%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/12185621-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/182295/images/full.jpeg
Quinta do Noval Vintage 2011,Quinta Do Noval Vintage Port 2011,83,90,-7,"-7,8%",750,750,Porto,Fortified Wines,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/12196645-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/362525/images/full.jpeg
Radeberger Pilsner,Radeberger Pilsner,"2,7","2,25","0,45","20,0%",500,500,Bière blonde de type Lager,Lager,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/10276692-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/676056/images/full.jpeg
Ramazzotti Black,Ramazzotti Black Sambuca,"24,5","23,95","0,55","2,3%",750,750,Liqueur d'anis,Liqueur/Liquor,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/00347484-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/347484/images/full.jpeg
Ramazzotti Sambuca,Ramazzotti Sambuca,"13,9","13,95","-0,05","-0,4%",375,375,Liqueur d'anis,Liqueur/Liquor,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/00506279-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/506279/images/full.jpeg
Ramazzotti Sambuca,Ramazzotti Sambuca,"23,3","21,95","1,35","6,2%",750,750,Liqueur d'anis,Liqueur/Liquor,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/00323972-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/323972/images/full.jpeg
Ramazzotti Sambuca,Ramazzotti Sambuca,35,"31,95","3,05","9,5%",1140,1140,Liqueur d'anis,Liqueur/Liquor,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/11426980-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/605709/images/full.jpeg
Ramos Pinto Duas Quintas 2012,Ramos Pinto Duas Quintas 2012,"18,25","17,95","0,3","1,7%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/10237458-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/359893/images/full.jpeg
Relax Riesling,Relax Riesling,"14,7","12,4","2,3","18,5%",750,750,Vin blanc,White Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/11254065-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/621888/images/full.jpeg
Rémy Martin Cœur de Cognac,Remy Martin Coeur de Cognac,"127,75","96,95","30,8","31,8%",700,700,Cognac,Cognac / Armagnac,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/11583053-1?&scl=1,
Réserve Perrin,Perrin Réserve,"16,8","15,95","0,85","5,3%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/00363457-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/363457/images/full.jpeg
Revolution Red,Revolution Red,11,"10,95","0,05","0,5%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/12166892-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/292037/images/full.jpeg
Ricard,Ricard Pastis,"26,8","26,95","-0,15","-0,6%",750,750,Alcool anisé - Pastis,Liqueur/Liquor,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/00015693-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/15693/images/full.jpeg
Ridge Estate Chardonnay 2012,Ridge Vineyards Estate Chardonnay 2012,65,"79,95","-14,95","-18,7%",750,750,Vin blanc,White Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/11617014-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/241646/images/full.jpeg
Ridge Geyserville 2012,Ridge Geyserville 2012,"50,25",53,"-2,75","-5,2%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/00862318-1?&scl=1,
Rivera Cappellaccio Aglianico Riserva 2007,Rivera Cappellaccio Riserva Aglianico 2007,"20,7","17,95","2,75","15,3%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/11580127-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/305276/images/full.jpeg
Rocca delle Macìe Chianti-Classico Riserva 2010,Rocca Delle Macìe Riserva Chianti Classico 2010,"26,5","21,95","4,55","20,7%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/10324543-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/930966/images/full.jpeg
Royal Tokaji Furmint 2011,Royal Tokaji Furmint 2011,"17,15","14,95","2,2","14,7%",750,750,Vin blanc,White Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/10790894-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/653220/images/full.jpeg
Ruffino Chianti,Ruffino Chianti,"15,25","14,95","0,3","2,0%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/00001743-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/1743/images/full.jpeg
Ruffino Orvieto Classico,Ruffino Orvieto Classico,"13,25","11,95","1,3","10,9%",750,750,Vin blanc,White Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/00031062-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/31062/images/full.jpeg
Rupert & Rothschild Classique 2011,Rupert & Rothschild Classique 2011,"23,8","22,95","0,85","3,7%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/00904144-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/717991/images/full.jpeg
Russian Prince,Russian Prince Vodka,20,"25,35","-5,35","-21,1%",750,750,Vodka,Vodka,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/00057075-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/57075/images/full.jpeg
Russian Prince,Russian Prince Vodka,"29,35","38,15","-8,8","-23,1%",1140,1140,Vodka,Vodka,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/00053546-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/53546/images/full.jpeg
Russian Standard,Russian Standard Vodka,"25,05","26,95","-1,9","-7,1%",750,750,Vodka,Vodka,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/12525921-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/137117/images/full.jpeg
Salentein Reserve Malbec 2012,Salentein Reserve Malbec 2012,"20,95","17,95",3,"16,7%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/11871442-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/640854/images/full.jpeg
Santa Margherita Pinot Grigio,Santa Margherita Pinot Grigio,"18,95","18,95",0,"0,0%",750,750,Vin blanc,White Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/00964601-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/106450/images/full.jpeg
Santa Rita 120 Cabernet-Sauvignon,Santa Rita 120 Cabernet Sauvignon,"9,95","9,94","0,01","0,1%",750,750,Vin rosé,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/00266502-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/218644/images/full.jpeg
Santa Rita Reserva Cabernet-Sauvignon,Santa Rita Reserva Cabernet Sauvignon,"15,8","13,95","1,85","13,3%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/00224881-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/253872/images/full.jpeg
Santa Rita Reserva Sauvignon Blanc,Santa Rita Reserva Sauvignon Blanc,"15,25","13,95","1,3","9,3%",750,750,Vin blanc,White Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/11767881-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/275677/images/full.jpeg
Sartori Amarone della Valpolicella 2011,Sartori Amarone Della Valpolicella 2010,"40,25","43,95","-3,7","-8,4%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/11035882-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/85217/images/full.jpeg
Sauza Gold,Sauza Gold Tequila,"17,65","17,45","0,2","1,1%",375,375,Téquila dorée,Tequila,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/10302563-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/267286/images/full.jpeg
Sauza Gold,Sauza Gold Tequila,"44,25","44,95","-0,7","-1,6%",1140,1140,Téquila dorée,Tequila,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/11495555-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/217133/images/full.jpeg
Sauza Silver,Sauza Silver Tequila,"17,1","17,45","-0,35","-2,0%",375,375,Téquila,Tequila,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/11459790-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/267294/images/full.jpeg
Sauza Silver,Sauza Silver,"29,95","29,95",0,"0,0%",750,750,Téquila,Tequila,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/00002485-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/2485/images/full.jpeg
Sauza Silver,Sauza Silver,"44,25","44,95","-0,7","-1,6%",1140,1140,Téquila,Tequila,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/11495571-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/217125/images/full.jpeg
Sauza Tres Generaciones Anejo,Sauza Tres Generaciones Anejo Tequilalic,80,"59,95","20,05","33,4%",750,750,Téquila dorée,Tequila,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/11056510-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/601732/images/full.jpeg
Schneider Hopfen-Weisse,Schneider Hopfen Weisse,4,"3,3","0,7","21,2%",500,500,Bière blonde de type Lager,Ale,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/11450921-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/164046/images/full.jpeg
Seagram's 83,Seagrams 83 Whisky,45,"57,15","-12,15","-21,3%",1750,1750,Whisky canadien,Whisky/Whiskey,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/10457979-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/231571/images/full.jpeg
Seghesio Old Vine Zinfandel 2011,Seghesio Old Vine Zinfandel 2011,"50,5","49,95","0,55","1,1%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/11266453-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/56879/images/full.jpeg
Sella & Mosca Cannonau di Sardegna Riserva,Sella & Mosca Cannonau Di Sardegna Riserva,"16,05","17,95","-1,9","-10,6%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/00425488-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/425488/images/full.jpeg
Shafer Merlot 2012,Shafer Merlot 2012,72,"79,95","-7,95","-9,9%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/00898742-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/346262/images/full.jpeg
Sheridan's Original,Sheridan's Original Double Liquor,"17,05","19,95","-2,9","-14,5%",375,375,Boisson à la crème (café),Liqueur/Liquor,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/10797252-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/625764/images/full.jpeg
Sheridan's Original,Sheridan's Original Double Liquor,"32,75","31,95","0,8","2,5%",750,750,Boisson à la crème (café),Liqueur/Liquor,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/00625756-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/625756/images/full.jpeg
Si Soave,Si Soave,"13,3","6,95","6,35","91,4%",750,750,Vin blanc,White Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/11254495-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/134999/images/full.jpeg
Skinnygirl Bare Naked,Skinnygirl Bare Naked Vodka,"25,05","26,95","-1,9","-7,1%",750,750,Vodka,Vodka,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/11855522-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/312983/images/full.jpeg
Skinnygirl Margarita,Skinnygirl Margarita,"14,95","13,95",1,"7,2%",750,750,Cocktail au spiritueux,Premixed Cocktails,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/11687143-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/296152/images/full.jpeg
