Nom SAQ,Nom LCBO,Prix SAQ,Prix LCBO,Différence,Diff. %,Volume SAQ,Volume SAQ,Volume LCBO,Type SAQ,Type LCBO,image SAQ,image LCBO
Captain Morgan,Captain Morgan Spiced Rum,37.5,16,21.5,1.34,"1,14 L",1140,375,Rhum brun,Rum,http://s7d9.scene7.com/is/image/SAQ/11582659-1,https://dx5vpyka4lqst.cloudfront.net/products/500504/images/full.jpeg
Captain Morgan,Captain Morgan Dark Rum,37.5,57,-19.5,-0.34,"1,14 L",1140,1750,Rhum brun,Rum,http://s7d9.scene7.com/is/image/SAQ/11582659-1,https://dx5vpyka4lqst.cloudfront.net/products/183582/images/full.jpeg
Captain Morgan,Captain Morgan Dark Rum,37.5,25,12.5,0.5,"1,14 L",1140,750,Rhum brun,Rum,http://s7d9.scene7.com/is/image/SAQ/11582659-1,https://dx5vpyka4lqst.cloudfront.net/products/2196/images/full.jpeg
Captain Morgan,Captain Morgan White Rum,37.5,14,23.5,1.68,"1,14 L",1140,375,Rhum brun,Rum,http://s7d9.scene7.com/is/image/SAQ/11582659-1,https://dx5vpyka4lqst.cloudfront.net/products/13789/images/full.jpeg
Captain Morgan,Captain Morgan Black Spiced Rum,37.5,29,8.5,0.29,"1,14 L",1140,750,Rhum brun,Rum,http://s7d9.scene7.com/is/image/SAQ/11582659-1,https://dx5vpyka4lqst.cloudfront.net/products/283929/images/full.jpeg
Captain Morgan,Captain Morgan Dark Rum,37.5,14,23.5,1.68,"1,14 L",1140,375,Rhum brun,Rum,http://s7d9.scene7.com/is/image/SAQ/11582659-1,https://dx5vpyka4lqst.cloudfront.net/products/19000/images/full.jpeg
Captain Morgan,Captain Morgan Original Spiced Rum Pet,37.5,28,9.5,0.34,"1,14 L",1140,750,Rhum brun,Rum,http://s7d9.scene7.com/is/image/SAQ/11582659-1,https://dx5vpyka4lqst.cloudfront.net/products/318709/images/full.jpeg
Captain Morgan,Captain Morgan Gold Rum,37.5,25,12.5,0.5,"1,14 L",1140,750,Rhum brun,Rum,http://s7d9.scene7.com/is/image/SAQ/11582659-1,https://dx5vpyka4lqst.cloudfront.net/products/4788/images/full.jpeg
Captain Morgan,Captain Morgan Gold Rum,37.5,57,-19.5,-0.34,"1,14 L",1140,1750,Rhum brun,Rum,http://s7d9.scene7.com/is/image/SAQ/11582659-1,https://dx5vpyka4lqst.cloudfront.net/products/234039/images/full.jpeg
Captain Morgan,Captain Morgan Gold Rum,37.5,38,-0.5,-0.01,"1,14 L",1140,1140,Rhum brun,Rum,http://s7d9.scene7.com/is/image/SAQ/11582659-1,https://dx5vpyka4lqst.cloudfront.net/products/217596/images/full.jpeg
Captain Morgan,Captain Morgan Silver Spiced Rum,37.5,27,10.5,0.39,"1,14 L",1140,750,Rhum brun,Rum,http://s7d9.scene7.com/is/image/SAQ/11582659-1,https://dx5vpyka4lqst.cloudfront.net/products/283911/images/full.jpeg
Captain Morgan,Captain Morgan Original Spiced Rum,37.5,9,28.5,3.17,"1,14 L",1140,200,Rhum brun,Rum,http://s7d9.scene7.com/is/image/SAQ/11582659-1,https://dx5vpyka4lqst.cloudfront.net/products/225573/images/full.jpeg
Captain Morgan,Captain Morgan Parrot Bay Coconut Rum,37.5,21,16.5,0.79,"1,14 L",1140,750,Rhum brun,Liqueur/Liquor,http://s7d9.scene7.com/is/image/SAQ/11582659-1,https://dx5vpyka4lqst.cloudfront.net/products/506246/images/full.jpeg
Captain Morgan,Captain Morgan 1671,37.5,38,-0.5,-0.01,"1,14 L",1140,750,Rhum brun,Rum,http://s7d9.scene7.com/is/image/SAQ/11582659-1,https://dx5vpyka4lqst.cloudfront.net/products/387225/images/full.jpeg
Captain Morgan,Captain Morgan Private Stock Rum,37.5,35,2.5,0.07,"1,14 L",1140,750,Rhum brun,Rum,http://s7d9.scene7.com/is/image/SAQ/11582659-1,https://dx5vpyka4lqst.cloudfront.net/products/64659/images/full.jpeg
Captain Morgan,Captain Morgan Spiced Rum,29.95,39,-9.05,-0.23,"1,14 L",1140,1140,Rhum blanc,Rum,http://s7d9.scene7.com/is/image/SAQ/11584321-1,https://dx5vpyka4lqst.cloudfront.net/products/217653/images/full.jpeg
Captain Morgan,Captain Morgan Spiced Rum,29.95,28,1.95,0.07,"1,14 L",1140,750,Rhum blanc,Rum,http://s7d9.scene7.com/is/image/SAQ/11584321-1,https://dx5vpyka4lqst.cloudfront.net/products/500512/images/full.jpeg
Captain Morgan,Captain Morgan Spiced Rum,29.95,60,-30.05,-0.5,"1,14 L",1140,1750,Rhum blanc,Rum,http://s7d9.scene7.com/is/image/SAQ/11584321-1,https://dx5vpyka4lqst.cloudfront.net/products/500546/images/full.jpeg
Captain Morgan,Captain Morgan White Rum,29.95,57,-27.05,-0.47,"1,14 L",1140,1750,Rhum blanc,Rum,http://s7d9.scene7.com/is/image/SAQ/11584321-1,https://dx5vpyka4lqst.cloudfront.net/products/133439/images/full.jpeg
Captain Morgan,Captain Morgan White Rum,29.95,25,4.95,0.2,"1,14 L",1140,750,Rhum blanc,Rum,http://s7d9.scene7.com/is/image/SAQ/11584321-1,https://dx5vpyka4lqst.cloudfront.net/products/935/images/full.jpeg
Captain Morgan,Captain Morgan White Rum,29.95,38,-8.05,-0.21,"1,14 L",1140,1140,Rhum blanc,Rum,http://s7d9.scene7.com/is/image/SAQ/11584321-1,https://dx5vpyka4lqst.cloudfront.net/products/217745/images/full.jpeg
Captain Morgan,Captain Morgan Dark Rum,29.95,38,-8.05,-0.21,"1,14 L",1140,1140,Rhum blanc,Rum,http://s7d9.scene7.com/is/image/SAQ/11584321-1,https://dx5vpyka4lqst.cloudfront.net/products/217554/images/full.jpeg
Captain Morgan,Captain Morgan Spiced Rum,29.95,16,13.95,0.87,"1,14 L",1140,375,Rhum blanc,Rum,http://s7d9.scene7.com/is/image/SAQ/11584321-1,https://dx5vpyka4lqst.cloudfront.net/products/500504/images/full.jpeg
Captain Morgan,Captain Morgan Dark Rum,29.95,57,-27.05,-0.47,"1,14 L",1140,1750,Rhum blanc,Rum,http://s7d9.scene7.com/is/image/SAQ/11584321-1,https://dx5vpyka4lqst.cloudfront.net/products/183582/images/full.jpeg
Captain Morgan,Captain Morgan Dark Rum,29.95,25,4.95,0.2,"1,14 L",1140,750,Rhum blanc,Rum,http://s7d9.scene7.com/is/image/SAQ/11584321-1,https://dx5vpyka4lqst.cloudfront.net/products/2196/images/full.jpeg
Captain Morgan,Captain Morgan White Rum,29.95,14,15.95,1.14,"1,14 L",1140,375,Rhum blanc,Rum,http://s7d9.scene7.com/is/image/SAQ/11584321-1,https://dx5vpyka4lqst.cloudfront.net/products/13789/images/full.jpeg
Captain Morgan,Captain Morgan Black Spiced Rum,29.95,29,0.95,0.03,"1,14 L",1140,750,Rhum blanc,Rum,http://s7d9.scene7.com/is/image/SAQ/11584321-1,https://dx5vpyka4lqst.cloudfront.net/products/283929/images/full.jpeg
Captain Morgan,Captain Morgan Dark Rum,29.95,14,15.95,1.14,"1,14 L",1140,375,Rhum blanc,Rum,http://s7d9.scene7.com/is/image/SAQ/11584321-1,https://dx5vpyka4lqst.cloudfront.net/products/19000/images/full.jpeg
Captain Morgan,Captain Morgan Original Spiced Rum Pet,29.95,28,1.95,0.07,"1,14 L",1140,750,Rhum blanc,Rum,http://s7d9.scene7.com/is/image/SAQ/11584321-1,https://dx5vpyka4lqst.cloudfront.net/products/318709/images/full.jpeg
Captain Morgan,Captain Morgan Gold Rum,29.95,25,4.95,0.2,"1,14 L",1140,750,Rhum blanc,Rum,http://s7d9.scene7.com/is/image/SAQ/11584321-1,https://dx5vpyka4lqst.cloudfront.net/products/4788/images/full.jpeg
